Mean,Variance,StD,Kurtosis,Max,Min,Skewness,Entropy,Constrast,Correlation,Energy,Homogeneity,Label
94,8.384762007033748,2.8956453524272874,-0.7769419812391094,101,89,0.3756211504495418,6.360830871699553,607.641447368421,0.8558246318020543,0.36178229170704,0.6623731932558594,1
90,12.923076923076923,3.5948681370916686,-0.7752976190476191,97,84,0.2533373272631565,4.355913329163027,3599.7222222222217,-0.04387027944301142,0.1678200829665913,0.15750711252559313,1
92,14.046524738919167,3.747869359905594,-0.5322680997305991,102,85,0.5803632599278661,7.053626052651767,732.9435897435898,0.8274439438891853,0.4668462601732377,0.6613556009869179,1
91,12.506666666666666,3.536476589299958,-0.12417321991170693,100,85,0.6804729184757856,5.885356654273002,428.20000000000005,0.8722715169882684,0.27428885321864616,0.6216250623539639,1
89,3.1408702677747,1.7722500579135834,-0.6820692309818543,93,86,-0.03563794230198493,6.527763108576414,1648.85,0.5630829347916815,0.29276249169456436,0.49269047033342805,1
92,12.301442171740975,3.5073411826825422,-1.038795063110321,99,86,0.15045543313510412,5.732622168845877,909.6168831168833,0.7653811851231903,0.2997229844894616,0.5140333988818996,1
90,7.459534794309881,2.731214893469549,-0.8171827981978121,98,86,0.2752346681375664,6.821745656972298,788.3291666666667,0.7963041492004992,0.3361372952381214,0.6260426593003863,1
96,39.87378808864266,6.314569509368209,-1.270939262845763,107,84,-0.053502840448711037,6.1203531368931126,1073.125,0.6766546795254959,0.176891746851476,0.34371294955840936,1
95,33.34377595822949,5.774406978922554,-0.9470785812435571,109,86,0.22682213377744045,6.16570069725652,548.9793388429753,0.8703053464444109,0.32580489350518366,0.5476512370336859,1
101,10.294320987654322,3.208476427785363,-1.1235584483716692,106,96,-0.12291082910905268,4.90477424911472,1487.9814814814813,0.5579821462216471,0.19685455208767869,0.48628929888935796,1
100,4.874460499155563,2.2078180403184415,0.003333500426685454,106,97,0.895999234023965,5.388832310122147,1716.1507936507937,0.6572349684087985,0.37461662607003016,0.5852185369088962,1
102,33.57226510513708,5.794157842615014,-1.003633466656891,116,91,0.055190725137225706,7.881476172355223,413.7656790123457,0.885282800927108,0.7614693919073612,0.8383677545496753,1
104,18.191643103520423,4.265166245707244,-0.9337716779681116,115,96,0.013096525122968012,7.804639294266662,541.9675925925924,0.8899609646193162,0.6312022208972432,0.7870996734620256,1
95,19.215945201610054,4.383599571312377,-0.7301374739836186,105,85,-0.08011776238169137,6.569837228070993,1231.4309523809525,0.7308774808664481,0.3764126830175997,0.4952543910426042,1
98,24.151701323251412,4.914438047554513,-0.9279531017291553,105,87,-0.42408901927046083,4.9259868302158765,1017.066666666667,0.7276667046989959,0.23003622903070436,0.37149925365476344,1
95,15.201111111111109,3.898860232312914,-0.9416139928714222,103,88,0.2365590691405538,5.597595414736382,1616.137254901961,0.438827147078,0.1424101867287642,0.2993357461876889,1
93,12.185112133830083,3.490717996892628,-0.21290834744790432,102,85,0.138828285248911,5.860087453829409,961.8663101604277,0.7732351245873677,0.3597026933795011,0.5476877213402894,1
98,64.30153077558505,8.01882352814832,-0.6989805281425152,119,86,0.6334760689030696,7.315950864185132,518.4649227110583,0.8914353419218585,0.3766573640485782,0.6041312336618463,1
96,29.689926745160797,5.448846368283914,-0.2853387760382389,112,85,0.5403693933093329,7.570911264004684,572.6755952380952,0.8697739078806171,0.5832019713607739,0.7090547665422245,1
91,4.087655222790357,2.0217950496502746,-0.4946601038932643,95,87,-0.5003335884283372,4.7092850593216244,1603.0714285714284,0.5886767030265025,0.298540241023223,0.46252413369487355,1
91,4.3226606805293,2.079100930818247,-0.9138236242681632,95,87,-0.03379781984809862,5.620141922583235,1239.4871794871794,0.6988734949544706,0.37292599819735345,0.600660153004662,1
94,11.4630593132154,3.3857140034585615,-1.0065990367743978,100,87,-0.2489604400330358,5.225104215631319,2777.74,0.3682958729712849,0.28548204847240394,0.3294680731153273,1
111,4.499110003559986,2.1211105590138355,-0.7210814635229106,115,107,-0.1051937691713398,5.068723509322601,1695.5555555555557,0.5733913601110024,0.20786985482077452,0.5247552798137872,1
114,17.152584876543212,4.141567924897914,-1.0614654111884807,122,106,0.049126356024319716,5.374621326487539,1906.602564102564,0.4830030656520461,0.1416071925280418,0.26899392642945014,1
104,15.153228664956947,3.8927148193718155,-1.048496328373756,112,96,-0.20528165235366863,6.486988516070468,954.3405572755419,0.80439702732128,0.29766477626555826,0.5669023683401235,1
104,21.87049337070975,4.676589929714786,-0.44923431509648504,118,95,0.4809652226180272,7.996331987947284,448.3283752860412,0.912800709626089,0.6029182567490732,0.7391510558371625,1
104,20.211940132442194,4.495769136915528,-0.9907367820314832,114,95,0.2532711913542597,7.679708205922935,775.2012882447665,0.8539656255466133,0.3855358830643144,0.6076322430631517,1
